LEXP,WTRA,SANI,CO2,CMORT,EMPL,INCM,HDI,GDP,INTU,POP,country,POP
57.8,60.4,38.1,0.299,76.1,48.7,1780,0.479,630,7,32.8,Afghanistan,32800000.00
77.4,91.4,97.7,1.96,14.4,44.9,10700,0.762,4410,60.1,2.92,Albania,2920000.00
77.1,93.3,87.3,3.72,25.6,37.1,13500,0.743,4680,29.5,39.1,Algeria,39100000.00
63.3,40.8,38.2,1.29,91.2,72.2,6260,0.531,3750,10.2,26.9,Angola,26900000.00
76.4,99.6,94.8,4.75,12.1,55.5,18800,0.826,10300,64.7,43,Argentina,43000000.00
75.4,98.5,91.5,1.9,14.7,49.9,7970,0.741,3830,54.6,2.91,Armenia,2910000.00
82.6,100,100,15.4,4,60.8,43400,0.937,54500,84,23.5,Australia,23500000.00
81.3,100,100,6.8,3.7,56.8,44100,0.892,47900,81,8.63,Austria,8630000.00
71.5,83.9,87.9,3.94,33.2,61.9,16700,0.758,6120,75,9.5,Azerbaijan,9500000.00
73.8,97.8,92,6.32,11.5,65.3,22300,0.79,27200,76.9,0.382,Bahamas,382000.00
76.7,100,100,23.4,7.8,70.7,44400,0.823,22400,90.5,1.34,Bahrain,1340000.00
72,97.2,45.5,0.459,38.6,54.1,2970,0.575,922,13.9,159,Bangladesh,159000000.00
76.7,98.1,96.5,4.49,13,57.3,15300,0.794,15900,75.2,0.283,Barbados,283000.00
73,98,94.3,6.69,4.2,63.8,17900,0.798,6660,59,9.48,Belarus,9480000.00
80.9,100,99.5,8.32,4.1,49,41400,0.895,44700,85,11.2,Belgium,11200000.00
71.8,96.5,86.8,1.41,16.3,59.4,8050,0.706,4410,38.7,0.352,Belize,352000.00
63.4,66.6,13.6,0.614,103,68.9,2000,0.481,834,6,10.3,Benin,10300000.00
73.5,97.6,62.3,1.29,35.1,62.7,7370,0.604,2500,30.3,0.776,Bhutan,776000.00
72.7,92,51.7,1.93,39.6,69.9,6330,0.671,2320,34.6,10.6,Bolivia,10600000.00
77.2,97.7,94.8,6.23,6.1,34,10500,0.747,4990,49.9,3.57,Bosnia and Herzegovina,3570000.00
63.7,79.1,59.9,3.24,44.6,59,15900,0.698,7570,36.7,2.17,Botswana,2170000.00
75,97.2,85.3,2.59,16.4,59.7,15400,0.754,11900,54.6,204,Brazil,204000000.00
76.9,99.5,96.3,22.1,10.1,63.2,76100,0.864,33300,68.8,0.412,Brunei,412000.00
75,99.3,86,5.87,8.8,48,16300,0.792,7300,55.5,7.22,Bulgaria,7220000.00
59.8,53.3,21.7,0.162,92.8,62.4,1540,0.399,640,9.4,17.6,Burkina Faso,17600000.00
59.6,55.8,50.5,0.0445,77.9,76.9,803,0.406,243,1.38,9.89,Burundi,9890000.00
68,73.5,46.3,0.438,33.7,84.5,3120,0.558,973,14,15.3,Cambodia,15300000.00
59.2,64.7,38.9,0.315,87.5,72.9,2900,0.514,1430,16.2,22.2,Cameroon,22200000.00
81.8,99,98.5,15.1,5.2,61.2,42900,0.919,50200,87.1,35.6,Canada,35600000.00
73.3,85.8,64.8,0.933,23,53.6,5930,0.646,3370,40.3,0.526,Cape Verde,526000.00
48.4,54.1,25,0.0666,134,67.2,602,0.347,303,3.6,4.52,Central African Republic,4520000.00
58.7,42.3,9.54,0.0538,135,67.4,2080,0.394,967,2.9,13.6,Chad,13600000.00
80,100,99.8,4.69,8.5,58.1,22200,0.845,14700,61.1,17.6,Chile,17600000.00
75.9,94.9,74.1,7.4,11.5,66.8,12800,0.734,6110,47.9,1390,China,1390000000.00
77.9,96.2,83.9,1.76,16.3,64.4,12700,0.724,7290,52.6,47.8,Colombia,47800000.00
67,83.7,34.1,0.203,78.3,40.8,1430,0.498,780,6.98,0.759,Comoros,759000.00
60.1,41.3,19.9,0.0634,101,69.8,726,0.425,398,3,73.7,"Congo, Dem. Rep.",73700000.00
62.4,67.5,14.9,0.635,56.5,62.9,5540,0.59,2920,7.11,4.87,"Congo, Rep.",4870000.00
80.8,99.6,97,1.63,9.4,57.2,14400,0.775,9070,53,4.76,Costa Rica,4760000.00
58.6,73,29.4,0.49,98.3,56.8,3060,0.466,1380,19.3,22.5,Cote d'Ivoire,22500000.00
77.3,99.6,97.4,3.96,4.9,43.4,20100,0.823,13700,68.6,4.26,Croatia,4260000.00
78.8,95,90.7,3.05,5.7,53.4,20000,0.773,6180,29.1,11.4,Cuba,11400000.00
80.5,100,99.4,5.26,2.9,53.1,29700,0.854,27000,69.3,1.15,Cyprus,1150000.00
78.6,99.9,99.1,9.1,3.1,55.8,29100,0.875,20300,74.2,10.6,Czech Republic,10600000.00
80.7,100,99.6,5.91,4.2,58,45100,0.923,59400,96,5.66,Denmark,5660000.00
65.6,76.9,51.3,0.792,68.2,55.5,3000,0.47,1595,10.7,0.912,Djibouti,912000.00
75.3,94.2,82.5,2.07,32.2,62,12600,0.718,6200,49.6,10.4,Dominican Republic,10400000.00
77.8,92,85.2,2.76,22.2,61.9,10900,0.739,5430,45.6,15.9,Ecuador,15900000.00
71.8,98.3,93.1,2.2,24.7,42.3,9880,0.688,2610,33.9,91.8,Egypt,91800000.00
74.8,92.5,90.5,1,16.1,59.2,7710,0.678,3270,24.8,6.28,El Salvador,6280000.00
64.7,49.5,74.5,4.73,97.1,55.8,31200,0.582,16000,18.9,1.13,Equatorial Guinea,1130000.00
63,19,11.2,0.147,47.6,76,1200,0.418,550,0.99,4.75,Eritrea,4750000.00
77.1,99.6,99.6,14.8,3.3,56.7,27000,0.863,17500,84.2,1.32,Estonia,1320000.00
64.6,37.6,6.8,0.119,64.4,78.8,1430,0.441,453,7.7,97.4,Ethiopia,97400000.00
65.5,93.8,94.6,1.32,23,55.1,8350,0.734,4080,37.4,0.886,Fiji,886000.00
81.2,100,99.4,8.66,2.5,53.8,39000,0.893,45200,86.5,5.46,Finland,5460000.00
82.2,100,98.7,4.72,4,50,37500,0.894,41400,83.8,64.2,France,64200000.00
65.3,87.1,40.8,2.77,53,40.4,16700,0.694,9510,38.1,1.88,Gabon,1880000.00
66.7,79.7,42.5,0.268,69.9,53.8,1560,0.45,530,15.6,1.92,Gambia,1920000.00
73.5,92.9,85.6,2.25,12.3,58.8,8750,0.768,3850,44,3.99,Georgia,3990000.00
80.8,100,99.2,8.83,3.9,57.4,43400,0.924,45000,86.2,81.5,Germany,81500000.00
64.9,77,14.1,0.537,63.4,75.1,3870,0.575,1660,25.5,27,Ghana,27000000.00
80.9,100,98.6,5.98,3.9,38.9,24000,0.865,22600,63.2,11.3,Greece,11300000.00
72.3,93.1,66.8,1.15,30.5,60.1,7150,0.637,3010,23.4,15.9,Guatemala,15900000.00
59.2,66.5,21.1,0.207,95.2,61.5,1210,0.414,714,6.4,11.8,Guinea,11800000.00
57.6,68.1,20.8,0.157,94.9,67,1390,0.421,546,3.32,1.73,Guinea-Bissau,1730000.00
66.7,94.7,85.6,2.63,34.4,50.6,6890,0.638,3600,32,0.763,Guyana,763000.00
63.3,63.7,30.4,0.271,71,57.9,1650,0.49,729,11.4,10.6,Haiti,10600000.00
72.3,91.6,78.7,1.08,20.1,62,4230,0.623,2060,19.1,8.81,Honduras,8810000.00
75.6,100,98,4.29,5.5,49.5,24000,0.834,14100,75.7,9.81,Hungary,9810000.00
82.2,100,98.8,6.04,2.3,72.5,41400,0.919,44800,98.2,0.328,Iceland,328000.00
67.8,87.1,42.7,1.73,47.7,52.1,5390,0.615,1650,21,1290,India,1290000000.00
71.1,88.6,66.4,1.82,28.3,64.4,10000,0.686,3690,17.1,255,Indonesia,255000000.00
75.3,94.9,88.2,8.28,16.3,37.2,16500,0.774,6160,39.4,78.4,Iran,78400000.00
67.1,85.4,85.7,4.81,33.2,42.7,14700,0.649,5250,13.2,35,Iraq,35000000.00
81.1,98.9,91.9,7.27,3.8,53.5,48900,0.92,54100,83.5,4.69,Ireland,4690000.00
81.4,100,100,8.13,3.9,60.4,31800,0.898,32700,75,7.94,Israel,7940000.00
82.2,100,99.3,5.38,3.6,42.4,33900,0.881,33600,55.6,59.6,Italy,59600000.00
74.9,92.9,85.4,2.59,16.3,57.6,8050,0.729,4710,40.4,2.86,Jamaica,2860000.00
83.6,98.9,100,9.47,2.8,57.7,37300,0.902,46500,89.1,128,Japan,128000000.00
76.6,98.6,96.9,3,18.7,34.5,8620,0.741,3350,46.2,8.81,Jordan,8810000.00
71.2,90.9,97.7,14.2,14,67.3,23600,0.793,10600,66,17.5,Kazakhstan,17500000.00
65.8,57.7,29.9,0.31,53.5,58,2750,0.55,1080,16.5,46,Kenya,46000000.00
79.9,100,100,25.2,9.1,68.5,70800,0.799,36300,78.7,3.78,Kuwait,3780000.00
70.7,86.9,96.3,1.66,23.5,57.4,3180,0.662,1000,28.3,5.77,Kyrgyz Republic,5770000.00
66.3,78.4,69.8,0.297,68.5,77.6,5130,0.582,1470,14.3,6.58,Lao,6580000.00
74.6,98.5,92.4,3.46,5.5,52.9,22300,0.828,13800,75.8,2.02,Latvia,2020000.00
80,91.8,93.8,4.3,8.7,43.6,13500,0.763,7450,73,5.6,Lebanon,5600000.00
48.6,71.2,41.4,1.15,98.3,49.8,2660,0.495,1320,22,2.15,Lesotho,2150000.00
59.4,69.4,16.6,0.213,73,54.7,805,0.427,377,5.41,4.39,Liberia,4390000.00
74.4,96.8,99.7,9.19,13.9,42.8,15100,0.719,6700,17.8,6.2,Libya,6200000.00
74.7,97.4,93,4.33,4.9,52.8,26300,0.846,14900,72.1,2.96,Lithuania,2960000.00
81.9,99.9,97.6,17.4,2.5,55.6,93800,0.896,107000,94.7,0.556,Luxembourg,556000.00
74.4,96.8,90.9,3.61,11.5,40.2,12300,0.746,4920,68.1,2.08,"Macedonia, FYR",2080000.00
62,49.6,9.33,0.13,50.5,86.2,1370,0.511,409,3.7,23.6,Madagascar,23600000.00
58.5,66.2,42.9,0.0748,63.3,72.7,1090,0.473,484,5.83,17.1,Malawi,17100000.00
75.1,96.5,99.6,8.03,8.1,62.2,24200,0.787,10400,63.7,30.2,Malaysia,30200000.00
79,97.9,95.9,3.27,9.5,63.5,11900,0.701,8120,49.3,0.408,Maldives,408000.00
60.9,72.6,30.5,0.0832,118,66.7,1870,0.438,706,7,17,Mali,17000000.00
81.2,100,100,5.51,6.9,50.6,32300,0.853,23700,73.2,0.426,Malta,426000.00
69.6,68.7,43.2,0.667,86.7,44.4,3660,0.513,1330,10.7,4.06,Mauritania,4060000.00
74.3,99.9,93.2,3.36,14.7,54.6,18300,0.779,9160,44.8,1.26,Mauritius,1260000.00
75.9,97.8,88.4,3.87,15.4,58.3,16500,0.758,9540,44.4,124,Mexico,124000000.00
72.2,86.7,78,1.21,16.4,39.7,4760,0.637,1990,67,4.07,Moldova,4070000.00
68,82.3,58.9,7.13,19.8,57.4,11300,0.701,3900,19.9,2.92,Mongolia,2920000.00
76.8,96.7,95.6,3.52,4.6,40.2,14800,0.733,7050,61,0.628,Montenegro,628000.00
74.6,81.8,82.6,1.74,29,44.5,7070,0.804,3110,56.8,34.3,Morocco,34300000.00
57.9,45.5,22.8,0.31,79.9,59.1,1080,0.645,493,9.24,27.2,Mozambique,27200000.00
69.1,66.7,65,0.417,54.8,65.5,4770,0.414,1270,11.5,51.9,Myanmar,51900000.00
63.7,78.7,33.5,1.58,48.4,49.6,9630,0.552,5900,14.8,2.37,Namibia,2370000.00
70,87.2,44.4,0.284,38,81.5,2270,0.637,676,15.4,28.3,Nepal,28300000.00
81.5,100,97.7,9.91,4,59.3,45700,0.555,50500,91.7,16.9,Netherlands,16900000.00
81.5,100,100,7.59,5.7,64.7,34500,0.923,36100,85.5,4.57,New Zealand,4570000.00
77.8,82.1,75.3,0.809,21,63,4790,0.913,1810,17.6,6.01,Nicaragua,6010000.00
60.8,45.3,12.4,0.111,99.2,78.7,900,0.642,387,1.95,19.1,Niger,19100000.00
63,66.1,32.8,0.546,112,52.6,5670,0.351,2560,21,176,Nigeria,176000000.00
70.5,99.6,77.1,1.61,22.4,76.9,1390,0.525,1800,0,25.1,North Korea,25100000.00
82,100,98.1,9.27,2.8,62.5,63300,0.948,89300,96.3,5.14,Norway,5140000.00
77.2,90,99.3,15.4,11,66,40300,0.795,17200,70.2,3.96,Oman,3960000.00
66.9,88.6,56.5,0.896,83.3,51.2,4580,0.548,1110,12,186,Pakistan,186000000.00
70.7,87.7,95.9,0.626,20.6,32.4,2640,0.783,2420,53.7,4.54,Palestine,4540000.00
78.4,94.6,76,2.25,17.4,62.9,19900,0.678,10400,44.9,3.9,Panama,3900000.00
60.1,36.6,18.6,0.815,57.9,68.4,2620,0.785,2330,6.5,7.76,Papua New Guinea,7760000.00
74.2,97.4,90,0.87,21.2,66,8500,0.515,3760,43,6.55,Paraguay,6550000.00
79.3,89.3,76,1.99,16.6,74.9,11500,0.692,5830,40.2,31,Peru,31000000.00
69.8,90.2,74.4,1.06,28.8,60.7,6590,0.737,2510,49.6,100,Philippines,100000000.00
77.5,97.9,97.4,7.46,5,51.7,24300,0.679,14100,66.6,38.3,Poland,38300000.00
80.7,99.9,99.3,4.3,3.6,50.6,26000,0.852,21500,64.6,10.5,Portugal,10500000.00
80.5,100,99.9,45.4,8.6,86.6,121000,0.841,67900,91.5,2.37,Qatar,2370000.00
74.8,100,81.8,3.5,9.5,51,19700,0.855,9230,54.1,20,Romania,20000000.00
70.8,96.3,88.5,11.9,8.3,60.2,24900,0.798,11700,70.5,144,Russia,144000000.00
66.9,56.1,61.3,0.074,43.4,85.6,1620,0.805,673,10.6,11.3,Rwanda,11300000.00
71.6,95.5,96.8,1.03,18.1,29.3,5510,0.493,3520,21.2,0.192,Samoa,192000.00
70,78.9,38.8,0.594,36.8,50.4,2890,0.702,1240,24.4,0.191,Sao Tome and Principe,191000.00
76.6,100,100,19.5,13.8,51.7,50000,0.565,21200,64.7,30.8,Saudi Arabia,30800000.00
65.5,74.3,47.7,0.609,52.3,53.3,2220,0.845,1020,17.7,14.5,Senegal,14500000.00
75.5,90,94.8,4.24,6.6,42.4,13100,0.491,5590,62.1,8.88,Serbia,8880000.00
53.9,56.8,14.2,0.185,125,55.3,1690,0.775,563,6.06,7.08,Sierra Leone,7080000.00
83.4,100,100,10.3,2.7,66.3,80300,0.431,52200,79,5.45,Singapore,5450000.00
76.7,97.9,98.9,5.65,6.2,51.5,27200,0.924,18000,80,5.43,Slovak Republic,5430000.00
80.7,99.5,99.1,6.19,2.5,52.1,28500,0.842,23200,71.6,2.07,Slovenia,2070000.00
62.4,65.4,30.6,0.35,26.8,70.2,2020,0.888,1480,9,0.576,Solomon Islands,576000.00
56.9,38.7,16.7,0.045,141,43.2,621,0.514,486,1.63,13.5,Somalia,13500000.00
60.6,84.2,72.3,8.98,44.5,40.1,12500,0.665,7580,49,54.5,South Africa,54500000.00
80.9,99.5,99.9,11.7,3.6,60.1,33400,0.899,24300,87.6,50.4,South Korea,50400000.00
58.7,48.5,9.5,0.13,96.9,63.8,1990,0.421,1309,4.52,11.5,South Sudan,11500000.00
82.8,99.9,99.9,5.03,3.4,44.2,31200,0.882,29500,76.2,46.5,Spain,46500000.00
76.9,91.3,94.2,0.892,9.9,51.7,10700,0.764,3510,25.8,20.6,Sri Lanka,20600000.00
76.1,98.2,90.9,2.31,14,52.4,10500,0.735,8150,36.6,0.176,St. Lucia,176000.00
71.5,95.1,87.2,1.91,17.9,56.9,10300,0.72,6470,47.4,0.109,St. Vincent and the Grenadines,109000.00
67.6,57.5,33.3,0.407,69,40.8,4190,0.488,1840,24.6,37.7,Sudan,37700000.00
71,94.7,79.2,3.63,21.3,49.8,15300,0.723,8940,40.1,0.548,Suriname,548000.00
53.8,66.6,57.4,0.929,74.1,39.3,8080,0.541,3980,26.2,1.3,Swaziland,1300000.00
82.1,100,99.3,4.48,2.9,58.9,44200,0.909,53600,92.5,9.69,Sweden,9690000.00
83,100,99.9,4.29,4.2,64.7,56700,0.938,76400,87.4,8.23,Switzerland,8230000.00
67.2,96.7,92.9,1.6,20.1,36,4300,0.553,3000,28.1,19.2,Syria,19200000.00
71.4,74.1,95.5,0.62,46,53,2550,0.625,893,17.5,8.36,Tajikistan,8360000.00
62.6,48.9,22.3,0.221,60.9,81.7,2400,0.519,806,7,52.2,Tanzania,52200000.00
77.5,98,95,4.62,13,70.2,14900,0.738,5590,34.9,68.4,Thailand,68400000.00
72.5,68.8,43.1,0.387,53.5,38.3,2110,0.603,2550,17.5,1.21,Timor-Leste,1210000.00
61.5,61.7,13.7,0.363,80.4,76.5,1320,0.484,531,5.7,7.23,Togo,7230000.00
70.2,99.9,93.5,1.14,17.1,59.1,5030,0.718,3580,36,0.106,Tonga,106000.00
73,96.9,92.1,34.2,19.8,61.3,31600,0.779,16600,65.1,1.35,Trinidad and Tobago,1350000.00
77.3,93.9,92.5,2.59,14.6,40.2,10800,0.723,4270,46.2,11.1,Tunisia,11100000.00
78.8,98.7,95.9,4.49,14.5,45.2,22400,0.764,13300,51,77,Turkey,77000000.00
69.6,93.8,96.5,12.5,54.5,62.9,14300,0.688,6400,12.2,5.47,Turkmenistan,5470000.00
60.8,38.3,18.9,0.135,60.1,69.5,1670,0.488,643,16.9,38.8,Uganda,38800000.00
71.7,97.6,95.9,5.06,9.8,49.2,8240,0.748,3120,46.2,44.9,Ukraine,44900000.00
76.4,99.6,100,23.3,7.9,79.5,64100,0.836,39100,90.4,9.07,United Arab Emirates,9070000.00
80.8,100,99.1,6.46,4.5,58.4,38000,0.908,40900,91.6,65,United Kingdom,65000000.00
78.9,99.2,100,16.5,6.8,58.4,51800,0.918,50900,73,318,United States,318000000.00
77,99.1,95.6,1.97,9.5,61.1,19800,0.794,13900,61.5,3.42,Uruguay,3420000.00
69.8,87.1,100,3.45,27.6,60,5370,0.697,1740,35.5,30.5,Uzbekistan,30500000.00
63.5,89.8,53.4,0.595,28.7,66.7,2890,0.598,2910,18.8,0.259,Vanuatu,259000.00
75.5,97.4,94.9,6.03,16.8,59.9,16700,0.769,13700,57,30.7,Venezuela,30700000.00
74.1,89.9,76.7,1.8,22.3,77.1,5370,0.678,1570,41,92.5,Vietnam,92500000.00
68.4,68.4,58.4,0.865,55.3,32,3770,0.499,1100,22.6,26.2,Yemen,26200000.00
57,60.4,30.8,0.288,69.6,69.2,3630,0.576,1620,19,15.6,Zambia,15600000.00
57,66.9,38.8,0.78,64.3,78.9,1910,0.507,940,16.4,15.4,Zimbabwe,15400000.00
